"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,6.41481538574728,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,8.7713200996408,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,7.8581482789639,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,7.12640949140469,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,2.38688628215299,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,2.88117037409479,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,1.53959074374299,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2016-Q1","Q1-2016","PC","Percentage","0","Units",,,4.76065537437626,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2016-Q2","Q2-2016","PC","Percentage","0","Units",,,-0.866257439878084,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2016-Q3","Q3-2016","PC","Percentage","0","Units",,,0.0127696001538603,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,1.78759518245323,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,0.00217781213882053,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,5.62262608701294,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,-0.0676229508196687,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,0.248321760072169,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,0.876083632387091,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.34926689053798,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,5.29377526732294,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,3.83641708132751,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.13525820633377,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.52032728892971,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.27829077856942,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.214114461272702,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-1.34115409004439,,
"NAEXKP06","GDP Exports; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-21.1911907917973,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,5.16126399042211,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,7.32741599655371,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,6.18014725356217,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,11.2776057233274,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,6.39443871852482,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,7.89498990287528,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,8.26484416896351,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,10.503714866759,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,10.563114823867,,
"NAEXKP07","GDP Imports of goods and services; constant prices, s.a.","CAN","Canada","GY","Growth on the same period of the previous year","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,6.55661474075797,,
